Feature,Rank,Title,Artist,Popularity,Feature_Score
sadness_norm,8,hope,XXXTENTACION,22353.50000000001,0.0294117647058824
sadness_norm,9,robbery,Juice WRLD,84626.9,0.0285714285714286
sadness_norm,10,paranoid,Post Malone,17141.1,0.0254237288135593
surprise_norm,1,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,0.0317460317460317
surprise_norm,2,its the most wonderful time of the year,Andy Williams,15575.65,0.0238095238095238
surprise_norm,3,nowadays,Lil Skies - Landon Cube,34641.65,0.0230769230769231
surprise_norm,4,the less i know the better,Tame Impala,15681.60000000001,0.0199004975124378
surprise_norm,5,lovely,Billie Eilish - Khalid,79693.90000000005,0.0194805194805195
surprise_norm,6,drowning,A Boogie Wit da Hoodie - Kodak Black,23549.05,0.0192307692307692
surprise_norm,7,drowning,A Boogie Wit da Hoodie - Kodak Black,26589.7,0.0192307692307692
surprise_norm,8,highest in the room,Travis Scott,70821.00000000001,0.0185185185185185
surprise_norm,9,mine,Bazzi,19368.80000000001,0.018348623853211
surprise_norm,10,mine,Bazzi,31889.799999999985,0.018348623853211
trust_norm,1,eastside,benny blanco - Halsey - Khalid,26870.89999999999,0.0402930402930403
trust_norm,2,eastside,benny blanco - Halsey - Khalid,50685.60000000001,0.0402930402930403
trust_norm,3,money,Cardi B,32293.1,0.0394088669950739
trust_norm,4,the less i know the better,Tame Impala,15681.60000000001,0.0348258706467662
trust_norm,5,holy,Justin Bieber - Chance the Rapper,12271.100000000002,0.0337078651685393
trust_norm,6,perfect,Ed Sheeran,43670.650000000016,0.032520325203252
trust_norm,7,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,0.0317460317460317
trust_norm,8,taking a walk,Trippie Redd,13441.9,0.0292397660818713
trust_norm,9,its beginning to look a lot like christmas,Michael Bublé,13829.100000000004,0.0284090909090909
trust_norm,10,taste,Tyga - Offset,60454.20000000001,0.0274725274725275
negative_norm,1,robbery,Juice WRLD,84626.9,0.0666666666666667
negative_norm,2,paranoid,Post Malone,17141.1,0.0593220338983051
negative_norm,3,all girls are the same,Juice WRLD,65162.04999999999,0.0544747081712062
negative_norm,4,gummo,6ix9ine,10913.099999999997,0.0446927374301676
negative_norm,5,woah,Lil Baby,19101.45,0.0439189189189189
negative_norm,6,woah,Lil Baby,14528.700000000004,0.0439189189189189
negative_norm,7,humble.,Kendrick Lamar,131271.90000000008,0.0428954423592493
negative_norm,8,chill bill,Rob $tone - J. Davi$ - Spooks,17889.700000000004,0.0411931818181818
negative_norm,9,beautiful crazy,Luke Combs,51049.599999999984,0.0411764705882353
negative_norm,10,taking a walk,Trippie Redd,13441.9,0.0409356725146199
positive_norm,1,money,Cardi B,32293.1,0.0591133004926108
positive_norm,2,the less i know the better,Tame Impala,15681.60000000001,0.054726368159204
positive_norm,3,perfect,Ed Sheeran,43670.650000000016,0.0528455284552846
positive_norm,4,eastside,benny blanco - Halsey - Khalid,26870.89999999999,0.0512820512820513
positive_norm,5,eastside,benny blanco - Halsey - Khalid,50685.60000000001,0.0512820512820513
positive_norm,6,holy,Justin Bieber - Chance the Rapper,12271.100000000002,0.050561797752809
positive_norm,7,taste,Tyga - Offset,60454.20000000001,0.0494505494505494
positive_norm,8,paranoid,Post Malone,17141.1,0.0423728813559322
positive_norm,9,chill bill,Rob $tone - J. Davi$ - Spooks,17889.700000000004,0.0411931818181818
positive_norm,10,say you wont let go,James Arthur,56811.05000000006,0.040133779264214
